sample_id,text,label,label_int,source,source_split,sentence_size,word_count,premise_id
HUM_INDONLI_0020,"Manusia memiliki kemampuan terbatas. Kesadaran dan pengakuan akan keterbatasannya menjadikan keyakinan bahwa ada sesuatu yang luar biasa di luar dirinya. Sesuatu yang luar biasa itu tentu berasal dari sumber yang luar biasa juga. Dan sumber yang luar biasa itu ada bermacam-macam sesuai dengan bahasa manusianya sendiri. Misal Tuhan, Dewa, God, Syang-ti, Kami-Sama dan lain-lain atau hanya menyebut sifat-Nya saja seperti Yang Maha Kuasa, Ingkang Murbeng Dumadi, De Weldadige, dan lain-lain.",human,0,IndoNLI,test,multiple,70,4945
HUM_INDONLI_0021,"Harry Potter adalah seri tujuh novel fantasi yang dikarang oleh penulis Inggris J. K. Rowling. Novel ini mengisahkan tentang petualangan seorang penyihir remaja bernama Harry Potter dan sahabatnya, Ronald Bilius Weasley dan Hermione Jean Granger, yang merupakan pelajar di Sekolah Sihir Hogwarts.",human,0,IndoNLI,test,double,42,3334
HUM_INDONLI_0022,Kehadiran Olivier Giroud dan Danny Welbeck sejak beberapa musim lalu dianggap tak sesuai ekspektasi dan tak mampu mendongrak produktivitas gol The Gunners.,human,0,IndoNLI,train,single,22,11262
HUM_INDONLI_0023,"Menurut dr. Esther Kristiningrum dari Departemen Medical PT Kalbe Farma Tbk, pembentukan vitamin D3 di kulit memerlukan sinar ultraviolet B (UVB) dari matahari yang akan mengkonversi provitamin D3 di kulit menjadi previtamin D3, yang kemudian diubah menjadi vitamin D3. Tidak ada panduan yang spesifik mengenai waktu berjemur yang terbaik karena dipengaruhi oleh beberapa faktor seperti intensitas UVB, musim, adanya awan, kabut, penggunaan tabir surya (sunblock atau sunscreen), serta warna kulit.",human,0,IndoNLI,train,double,70,10991
HUM_INDONLI_0024,Nikel Raney yang tersedia secara komersial memiliki luas permukaan rata-rata 100 m² per gram katalis.,human,0,IndoNLI,train,single,15,11101
HUM_INDONLI_0025,Kisah yang dilakonkan dalam lenong preman misalnya adalah kisah rakyat yang ditindas oleh tuan tanah dengan pemungutan pajak dan munculnya tokoh pendekar taat beribadah yang membela rakyat dan melawan si tuan tanah jahat.,human,0,IndoNLI,,"['MORPH', 'SEMLEX']",33,50264
HUM_INDONLI_0026,"Sedangkan, bagi West Ham kekalahan ini membuat mereka melorot ke posisi 15 karena baru mengemas 30 poin dari 28 laga.",human,0,IndoNLI,train,single,20,10361
HUM_INDONLI_0027,"Meskipun isu keamanan membuat beberapa perusahaan, instansi pemerintah, dan juga sekolah melarang penggunaan Zoom, sang CEO Eric Yuan berhasil meyakinkan investor.",human,0,IndoNLI,train,single,21,10139
HUM_INDONLI_0028,"Hukum kedua Mendel menyatakan bahwa bila dua individu mempunyai dua pasang atau lebih sifat, maka diturunkannya sepasang sifat secara bebas, tidak bergantung pada pasangan sifat yang lain. Dengan kata lain, alel dengan gen sifat yang berbeda tidak saling memengaruhi. Hal ini menjelaskan bahwa gen yang menentukan e.g. tinggi tanaman dengan warna bunga suatu tanaman, tidak saling memengaruhi.",human,0,IndoNLI,test,multiple,57,3645
HUM_INDONLI_0029,"Pada April 2004, FIFA mengumumkan bahwa mereka memperkirakan akan meraup keuntungan sebesar $144 juta dari $1,64 miliar dalam pendapatan antara tahun 2003 dan 2006.",human,0,IndoNLI,test,single,24,3508
HUM_INDONLI_0030,"""Justin sangat baik. Menghabiskan sepanjang minggu dengan Selena adalah minggu impian baginya,"" kata sumber dekat sang pelantun ""Sorry"" itu. Katanya, Bieber berusaha mengimbangi Gomez yang tidak ingin terburu-buru. Apalagi, ia baru saja putus dari The Weekend.",human,0,IndoNLI,train,single,36,12273
HUM_INDONLI_0031,"The Pythian Game (dimulai 6 SM) digelar di Argolid setiap dua tahun. The Isthmian Game (dimulai 523 SM) digelar di Isthmus dari Corinth setiap dua tahun. The Roman Games berasal dari akar Yunani murni. Roman game memakai perlombaan lari dan melempar. Bukannya berlomba kereta kuda dan bergulat seperti di Yunani, olahraga Etruscan memakai pertempuran galiatoral, yang juga sama-sama 527 Sebelum Masehi digelar di Delphi tiap empat tahun.",human,0,IndoNLI,test,multiple,67,3545
HUM_INDONLI_0032,"Kesehatan menjadi syarat penting dalam menjalankan puasa. Bagi yang punya sakit maag, kesehatan bisa dijaga dengan memilih asupan yang tepat. Sayangnya lapar mata kerap mengacaukan minat lebih selektif dalam memilih asupan.",human,0,IndoNLI,train,multiple,31,10697
HUM_INDONLI_0033,Biaya yang diperlukan saat itu adalah sebesar 16 juta US $dengan nilai dolar saat itu. ',human,0,IndoNLI,test,double,16,11584
HUM_INDONLI_0034,"Selain intensitas UVB, lanjut dr Esther, lama waktu berjemur juga bisa tergantung dari warna kulit. Umumnya diperlukan waktu berjemur sekitar 10-15 menit, namun untuk yang berkulit lebih gelap, bisa memerlukan waktu berjemur yang lebih lama, karena kandungan pigmen kulit (melanin) yang tinggi dapat menghambat produksi vitamin D pada kulit.",human,0,IndoNLI,train,double,49,12085
HUM_INDONLI_0035,"Longsor dan tanah gerak, terjadi di Desa Bodas, Kecamatan Kandangserang, Kabupaten Pekalongan, Jawa Tengah. Sebanyak 95 rumah di Dusun Bodas 1 dan Nifas 2 rusak.",human,0,IndoNLI,,"['SEMLEX', 'QUANT', 'CS']",25,38145
HUM_INDONLI_0036,"Jika sepasang gen ini merupakan dua alel yang berbeda (Sb dan sB pada gambar 2), alel dominan (S atau B) akan selalu terekspresikan (tampak secara visual dari luar).",human,0,IndoNLI,,"['NEG', 'LSUB']",28,36122
HUM_INDONLI_0037,"WhatsApp atau WA bisa diakses melalui desktop menggunakan WhatsApp Web. Namun, pengguna harus memerhatikan beberapa hal agar WhatsApp Web tetap terhubung tanpa barcode.",human,0,IndoNLI,test,double,23,4433
HUM_INDONLI_0038,"Hanya saja, ada aroma yang sedikit menyengat di pengunjung aromanya. Mungkin saja ini menggambarkan rasa sakit setelah gigi tercabut.",human,0,IndoNLI,test,double,19,10684
HUM_INDONLI_0039,"Beberapa ancaman pemboikotan juga terjadi dalam Olimpiade Beijing 2008 sebagai protes terhadap catatan Hak Asasi Manusia Tiongkok mengenai kekerasan yang dilakukan oleh pemerintah RRT terhadap etnis Tibet, meskipun pada akhirnya tidak satupun negara yang melakukan pemboikotan.",human,0,IndoNLI,test,double,36,12381
HUM_INDONLI_0040,Ruangguru merupakan perusahaan teknologi terbesar di Indonesia yang berfokus pada layanan berbasis pendidikan. Kami telah memiliki lebih dari 15 juta pengguna serta mengelola 300.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran.,human,0,IndoNLI,test,single,34,4703
HUM_INDONLI_0041,"Berturut-turut radio-radio Australia, San Franscisco dan BBC London dan Harian Merdeka di Jakarta menyiarkan tentang ""Pemberontakan Besar di Minahasa"". Dampak peristiwa ini pada tentara Sekutu (AS-Inggris-Belanda) menggemparkan.",human,0,IndoNLI,train,double,27,10182
HUM_INDONLI_0042,"Gubernur DKI Jakarta, Anies Baswedan, mengatakan pihaknya memfokuskan pada penanganan korban bencana dan bukan pencegahan banjir.",human,0,IndoNLI,train,single,16,11163
HUM_INDONLI_0043,"""Pada Olimpiade London 2012, Indonesia mengirimkan 22 atlet, dengan rincian sembilan atlet berasal dari cabang bulu tangkis, kemudian diikuti oleh cabang angkat besi sebanyak enam atlet. Sementara cabang atletik meloloskan dua atlet. Sedangkan anggar, panahan, renang, judo dan menembak masing-masing meloloskan satu atlet. Jumlah atlet kali ini lebih sedikit dibanding kontingen yang dikirim pada Olimpiade Beijing 2008.""",human,0,IndoNLI,train,multiple,57,10499
HUM_INDONLI_0044,Kelompok Chelicerata ini dikenal karena anggotanya mempunya alat mulut berupa chelicera yang terdiri dari dua segmen.,human,0,IndoNLI,train,single,16,10409
HUM_INDONLI_0045,"Pada tahun 2004 Irwan pernah menjadi vocalist Radio Band yg juga beranggotakan Raffi ahmad, Naga Lyla, Aldiansyah Taher, Oki Oris & Mende Oris.",human,0,IndoNLI,,"['NUM', 'MORPH']",23,32270
HUM_INDONLI_0046,"Iya, jadi kami dari pasangan nomor urut satu tidak menandatangani hasil pleno di KPU Kota Tangsel. Terdapat keberatan-keberatan kami, mulai dari proses awal sampai dengan rekapitulasi.",human,0,IndoNLI,test,double,26,3735
HUM_INDONLI_0047,"Keluhan sakit mag yang umumnya dirasakan oleh pasien adalah akibat ketidakteraturan makan, konsumsi makanan camilan yang berlemak, asam dan pedas sepanjang hari, konsumsi minuman bersoda, merokok dan juga faktor stres.",human,0,IndoNLI,train,single,30,11649
HUM_INDONLI_0048,"Apalagi, kata dia, hubungan perdagangan Indonesia dan Filipina mulai berkembang pesat. Kualitas produk militer buatan Indonesia lainnya kini juga semakin diakui.",human,0,IndoNLI,test,double,21,3943
HUM_INDONLI_0049,"Pendapatan produsen rokok Dji Sam Soe dan Sampoerna Mild ini turun 12,55% menjadi Rp 67,78 triliun dari periode yang sama tahun lalu Rp 77,51 triliun.",human,0,IndoNLI,,['SEMLEX'],25,39272
HUM_INDONLI_0050,Monaco sendiri adalah tim yang paling banyak mencetak gol di kompetisi lokal dari lima liga top Eropa. Mereka mencetak 88 gol dari 31 pertandingan Ligue 1.,human,0,IndoNLI,train,single,26,12465
